idx,date_time,proposal_id,target_id,obsid,object,ra,dec,ins,abstract,PI
763,2020-11-02 19:23:09,A09_038,T13,A09_038T13_9000003966,SMC-13,13.895050,-72.125701,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
764,2020-11-02 20:36:55,A09_038,T24,A09_038T24_9000003968,SMC-24,13.947421,-73.347828,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
765,2020-11-02 22:21:51,A09_038,T33,A09_038T33_9000003970,SMC-33,16.349438,-72.712987,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
766,2020-11-03 01:53:31,T03_259,T01,T03_259T01_9000003972,M31N 2008-12a,11.370000,41.902806,uvit1,,
767,2020-11-03 12:41:11,C05_019,T04,C05_019T04_9000003974,Blank Sky-8,237.391917,70.348089,laxpc2,"The LAXPC instrument has a large detection volume which gives rise to high background rate. Further, observations during the last two years have shown that the background rate is not constant, but varies during each orbit and also has some long term variation which is not properly understood. In order to produce a robust LAXPC background model we need frequent observations of the blank sky for at least one day which over entire latitude and longitude range of the AstroSat orbit. These observations are important to analyse data of faint sources like AGNs, Blazars, etc., whose count rates are less than 10% of the LAXPC instrument background. Many of these sources have count rates less than 1% of the background. We propose observation of the Blank Sky-8 during November 2019, February 2019, May 2020 and August 2020.",tilak
768,2020-11-04 04:27:31,T03_257,T01,T03_257T01_9000003976,Akn564,340.726697,29.712317,uvit1,,
769,2020-11-10 08:55:11,A09_038,T36,A09_038T36_9000003978,SMC-36,15.883196,-73.637423,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
770,2020-11-10 11:00:29,A09_038,T37,A09_038T37_9000003980,SMC-37,16.462783,-73.323182,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
771,2020-11-10 12:28:49,A09_038,T38,A09_038T38_9000003982,SMC-38,16.371613,-72.983569,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
772,2020-11-10 14:13:53,A09_038,T39,A09_038T39_9000003984,SMC-39,17.543858,-72.622015,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
773,2020-11-10 15:42:17,A09_038,T41,A09_038T41_9000003986,SMC-41,17.716700,-73.299528,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
774,2020-11-10 17:43:11,T03_262,T01,T03_262T01_9000003988,M31N 2008-12a,11.370000,41.902806,sxt,,
775,2020-11-12 19:11:21,T03_263,T01,T03_263T01_9000003990,A0535+262,84.727393,26.315789,laxpc1,,
776,2020-11-14 02:31:29,A09_038,T42,A09_038T42_9000003992,SMC-42,18.966675,-73.268358,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
777,2020-11-14 05:15:35,A09_038,T43,A09_038T43_9000003994,SMC-43,19.705650,-73.553693,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
778,2020-11-14 07:02:42,A09_038,T44,A09_038T44_9000003996,SMC-44,20.211654,-73.229714,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
779,2020-11-14 09:04:25,A09_038,T45,A09_038T45_9000003998,SMC-45,20.969629,-73.510553,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
780,2020-11-14 11:05:13,A10_002,T05,A10_002T05_9000004000,M31 Field No. 2,11.037000,41.557347,uvit1,"M31 is the nearest giant spiral galaxy for which we can study the stellar populations, X-ray sources, and supernova remnants. At a distance of 780 kpc, M31 is far enough away that the brightest stars are safe to observe with UVIT, yet close enough to obtain a good census of the the above populations. The high spatial resolution of UVIT is yielding outstanding data on the stellar populations, X-ray sources and supernova remnants of M31. The multi-wavelength images of M31 is forming a legacy dataset for study of the stellar populations of M31, it star formation history and the structure of the galaxy. For this proposal we are requesting to observe for a second epoch, with UVIT and the X-ray instruments, the bulge and the inner NE spiral arms of M31. The two goals are to obtain significantly higher sensitivity and to identify and study FUV variable sources.",dleahy
781,2020-11-15 18:50:54,A09_038,T46,A09_038T46_9000004002,SMC-46,21.450617,-73.183644,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
782,2020-11-15 20:24:01,A09_038,T47,A09_038T47_9000004004,SMC-47,22.226725,-73.459887,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
783,2020-11-15 22:06:43,A09_038,T35,A09_038T35_9000004006,SMC-35,17.415212,-72.080672,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
784,2020-11-16 01:21:33,A09_038,T34,A09_038T34_9000004008,SMC-34,16.891554,-72.397542,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
785,2020-11-16 04:27:40,A10_024,T01,A10_024T01_9000004010,GW Candidate Transient,334.962500,-48.711111,uvit1,"We request monthly Astrosat FUV monitoring of J221951-484240. Originally this source was a candidate to GW event S190930t, but HST spectroscopy shows this to be a very distant (and bright) source, likely a TDE or new quasar. We request monthly monitoring in two FUV filters for the A10 period. This will compliment our continuing observations by Swift and allow us to follow the slowly evolving spectral evolution from the optical through to the FUV.",sbpandey
786,2020-11-16 11:00:03,A09_038,T40,A09_038T40_9000004012,SMC-40,18.080917,-72.371539,uvit1,"We propose UVIT FUV.Silica observations for a wide area spanning the most actively star-forming portion of the SMC. The requested pointings have been vetted for safety using GALEX NUV imaging, including re-calibrated data not yet released to the public. Astrosat/UVIT observations exist for peripheral regions of the SMC, LMC, and in the Magellanic Bridge, but none have targeted brighter regions in the body of the SMC or within the SMC Wing. We will conduct a first-look FUV.Silica survey of the SMC, thus securing a long-needed ~1 arcsecond resolution FUV imaging dataset for the benchmark low metallicity star-forming dwarf. Our exploratory program takes the initial step toward multi-filter UVIT observations similar to those in peripheral regions of the galaxy. Even with only FUV.Silica, Astrosat/UVIT results will add unique information to constrain stellar evolution models and interstellar extinction, adding critical FUV data to the photometric coverage of early spectral types.",dthilker
787,2020-11-16 13:02:55,A10_009,T02,A10_009T02_9000004014,R Scl,21.742062,-32.543177,uvit1,"We propose to observe bow shocks around the runaway AGB stars, U Hya and R Scl. While both are detached shell sources, U Hya's far-IR detached shell (imaged with Herschel) appears to be coincident with the UV bow shock observed with GALEX. Detecting UV emission from R Scl where the far-IR bow shock and detached shell are well separated, would enable us to disentangle their contributions. With deeper exposures and the high spatial resolution of AstroSat, we will be able to 1) examine the spatial offset between the UV and far-IR emission regions, 2) investigate these emission mechanisms, and 3) study the clumps/instabilities and their advection into the bow shock tail. Combining multi-wavelength observations with detailed simulations will improve our understanding of how stellar material is processed on injection into the ISM, a crucial link in the cycle of gas and dust in galaxies.",shazrene
788,2020-11-16 21:10:56,A10_016,T01,A10_016T01_9000004016,UGC6614,174.811967,17.143669,uvit1,"The origin and evolution of Giant Low Surface Brightness galaxies (GLSBs) is still debated. This important population of galaxies is poorly understood because they are so hard to observe. As an initial step towards obtaining a robust and representative sample of GLSB galaxies observed in UV and spectroscopy, here we propose to obtain FUV imaging of the GLSB galaxies UGC 6614 and NGC 1042 using UVIT, each with an exposure time of 9000 seconds in order to detect the faintest UV regions and to study the star formation activity within these galaxies with a high spatial resolution (matching other observations). In parallel to this proposal, we maintain an on-going effort to obtain spectroscopic data for these sources. The UVIT data, in combination with spectroscopy at matching spatial resolution will provide a better insight in to the star formation properties in low-density environment which are debated.",jmadathodika
789,2020-11-18 13:43:30,A10_016,T02,A10_016T02_9000004018,NGC1042,40.099863,-8.433544,uvit1,"The origin and evolution of Giant Low Surface Brightness galaxies (GLSBs) is still debated. This important population of galaxies is poorly understood because they are so hard to observe. As an initial step towards obtaining a robust and representative sample of GLSB galaxies observed in UV and spectroscopy, here we propose to obtain FUV imaging of the GLSB galaxies UGC 6614 and NGC 1042 using UVIT, each with an exposure time of 9000 seconds in order to detect the faintest UV regions and to study the star formation activity within these galaxies with a high spatial resolution (matching other observations). In parallel to this proposal, we maintain an on-going effort to obtain spectroscopic data for these sources. The UVIT data, in combination with spectroscopy at matching spatial resolution will provide a better insight in to the star formation properties in low-density environment which are debated.",jmadathodika
790,2020-11-19 02:11:28,A10_048,T08,A10_048T08_9000004020,IC 1438,334.121250,-21.430694,uvit1,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",chayan
791,2020-11-20 12:22:14,A10_002,T04,A10_002T04_9000004022,M31 Field No. 1,10.710708,41.250228,uvit1,"M31 is the nearest giant spiral galaxy for which we can study the stellar populations, X-ray sources, and supernova remnants. At a distance of 780 kpc, M31 is far enough away that the brightest stars are safe to observe with UVIT, yet close enough to obtain a good census of the the above populations. The high spatial resolution of UVIT is yielding outstanding data on the stellar populations, X-ray sources and supernova remnants of M31. The multi-wavelength images of M31 is forming a legacy dataset for study of the stellar populations of M31, it star formation history and the structure of the galaxy. For this proposal we are requesting to observe for a second epoch, with UVIT and the X-ray instruments, the bulge and the inner NE spiral arms of M31. The two goals are to obtain significantly higher sensitivity and to identify and study FUV variable sources.",dleahy
792,2020-11-21 21:01:51,A10_002,T05,A10_002T05_9000004024,M31 Field No. 2,11.037000,41.557347,uvit1,"M31 is the nearest giant spiral galaxy for which we can study the stellar populations, X-ray sources, and supernova remnants. At a distance of 780 kpc, M31 is far enough away that the brightest stars are safe to observe with UVIT, yet close enough to obtain a good census of the the above populations. The high spatial resolution of UVIT is yielding outstanding data on the stellar populations, X-ray sources and supernova remnants of M31. The multi-wavelength images of M31 is forming a legacy dataset for study of the stellar populations of M31, it star formation history and the structure of the galaxy. For this proposal we are requesting to observe for a second epoch, with UVIT and the X-ray instruments, the bulge and the inner NE spiral arms of M31. The two goals are to obtain significantly higher sensitivity and to identify and study FUV variable sources.",dleahy
793,2020-11-23 11:53:18,A10_024,T01,A10_024T01_9000004026,GW Candidate Transient,334.962500,-48.711111,uvit1,"We request monthly Astrosat FUV monitoring of J221951-484240. Originally this source was a candidate to GW event S190930t, but HST spectroscopy shows this to be a very distant (and bright) source, likely a TDE or new quasar. We request monthly monitoring in two FUV filters for the A10 period. This will compliment our continuing observations by Swift and allow us to follow the slowly evolving spectral evolution from the optical through to the FUV.",sbpandey
794,2020-11-23 19:53:41,A10_048,T01,A10_048T01_9000004028,NGC 0613,23.575833,-29.418500,uvit1,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",chayan
795,2020-11-24 20:07:50,A10_048,T06,A10_048T06_9000004030,NGC 7755,356.965417,-30.522000,uvit1,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",chayan
796,2020-11-26 06:17:25,A10_049,T01,A10_049T01_9000004032,1H 0419-577,66.502958,-57.200492,sxt,"We request a 30 ks observation of Seyfert galaxy 1H 0419-577 with SXT as a primary instrument, and simultaneously with LAXPC and UVIT. 1H 0419-577 is well feasible for {\it AstroSat} observation as per mandatory tests, though it has never been observed so far. The studies previously done with {\it XMM-Newton} observations revealed that \textbf{this source is ideal one to observe strong gravitational light bending in the vicinity of its rapidly spinning black hole. We will take the advantage of simultaneous observation from SXT and LAXPC and conduct a detailed broadband spectral analysis.} This will provide us unique opportunity to conclusively establish the highly predicted strong light bending model existed in 1H 0419-577. Further, we will extend our analysis to investigate the spectral variability of the source, also, will observe how the emitted component become more and more reflection dominated as the flux drops.",samuzal_astrosat
797,2020-11-27 12:02:58,A10_016,T01,A10_016T01_9000004034,UGC6614,174.811967,17.143669,uvit1,"The origin and evolution of Giant Low Surface Brightness galaxies (GLSBs) is still debated. This important population of galaxies is poorly understood because they are so hard to observe. As an initial step towards obtaining a robust and representative sample of GLSB galaxies observed in UV and spectroscopy, here we propose to obtain FUV imaging of the GLSB galaxies UGC 6614 and NGC 1042 using UVIT, each with an exposure time of 9000 seconds in order to detect the faintest UV regions and to study the star formation activity within these galaxies with a high spatial resolution (matching other observations). In parallel to this proposal, we maintain an on-going effort to obtain spectroscopic data for these sources. The UVIT data, in combination with spectroscopy at matching spatial resolution will provide a better insight in to the star formation properties in low-density environment which are debated.",jmadathodika
798,2020-11-28 20:24:38,A10_021,T02,A10_021T02_9000004036,NGC 1672,71.427083,-59.247181,uvit1,"We request 240 ks of time to execute AstroSat UVIT observations of 10 nearby galaxies, revealing the population of newly formed massive stars. When combined with archival data, this study will yield a sample of 36 galaxies with complete ALMA, HST and AstroSat FUV data, from the Physics at High Angular resolution in Nearby GalaxieS (PHANGS) sample. ALMA maps emission from the molecular gas that is the immediate reservoir from which stars form, while the HST data provide detailed information on star cluster properties, both at 1.5 arcsec resolution. These AstroSat FUV data will provide essential constraints on the properties and feedback from the youngest clusters. We will use these data to measure the lifetimes of molecular clouds and clusters, making the first systematic measurements of how these key physical parameters are regulated by the conditions of the interstellar medium (ISM) and the local galactic environment",rosolowsky
799,2020-11-29 04:17:42,A10_021,T03,A10_021T03_9000004038,NGC 3351,160.990417,11.703806,uvit1,"We request 240 ks of time to execute AstroSat UVIT observations of 10 nearby galaxies, revealing the population of newly formed massive stars. When combined with archival data, this study will yield a sample of 36 galaxies with complete ALMA, HST and AstroSat FUV data, from the Physics at High Angular resolution in Nearby GalaxieS (PHANGS) sample. ALMA maps emission from the molecular gas that is the immediate reservoir from which stars form, while the HST data provide detailed information on star cluster properties, both at 1.5 arcsec resolution. These AstroSat FUV data will provide essential constraints on the properties and feedback from the youngest clusters. We will use these data to measure the lifetimes of molecular clouds and clusters, making the first systematic measurements of how these key physical parameters are regulated by the conditions of the interstellar medium (ISM) and the local galactic environment",rosolowsky
800,2020-11-29 15:54:21,A10_065,T03,A10_065T03_9000004040,Cluster 3,46.010000,-12.070000,sxt,"The tension between the cosmological parameters derived from the primary cosmic microwave background (CMB) and from cluster samples is a pressing issue. One possible discrepancy is likely the incompleteness of detected clusters is higher than estimated, and certain types of clusters or groups of galaxies were missed. The inaccuracy of the selection function will bias the corresponding mass function of galaxy clusters, and will further affect the cosmological parameter constraints. Recently, we have discovered a new set of 1308 extended clusters with flat profile by employing our state of art algorithm on the data of ROSAT All Survey (RASS). Here, we propose the 5 very extended galaxy clusters, with physical extension of more than 1 Mpc. The proposed ASTROSAT/SXT observations will not only enable us to understand the formation of extended diffuse X-ray clusters, but also explain the tension between cosmological parameter constraints.",wwxu
801,2020-12-02 17:08:34,A10_021,T01,A10_021T01_9000004044,NGC 1097,41.579375,-30.274889,uvit1,"We request 240 ks of time to execute AstroSat UVIT observations of 10 nearby galaxies, revealing the population of newly formed massive stars. When combined with archival data, this study will yield a sample of 36 galaxies with complete ALMA, HST and AstroSat FUV data, from the Physics at High Angular resolution in Nearby GalaxieS (PHANGS) sample. ALMA maps emission from the molecular gas that is the immediate reservoir from which stars form, while the HST data provide detailed information on star cluster properties, both at 1.5 arcsec resolution. These AstroSat FUV data will provide essential constraints on the properties and feedback from the youngest clusters. We will use these data to measure the lifetimes of molecular clouds and clusters, making the first systematic measurements of how these key physical parameters are regulated by the conditions of the interstellar medium (ISM) and the local galactic environment",rosolowsky
802,2020-12-03 00:38:21,A10_045,T01,A10_045T01_9000004046,NGC 660,25.760000,13.645056,uvit1,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",sreeja
